character,source_file,old_faith,new_faith,transition,mode
gen_902,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_903,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_904,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_905,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_906,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_907,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_908,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_909,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_910,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_911,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_912,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_913,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_914,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_915,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_916,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_917,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_918,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_919,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_920,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_921,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_922,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_923,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_924,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_925,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_926,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_927,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_928,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_929,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_930,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_931,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_932,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_933,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_934,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_935,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_936,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_937,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_938,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_939,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_940,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_941,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_942,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_943,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_944,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_945,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_946,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_947,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_948,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_949,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_950,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_951,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_952,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_953,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_954,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_955,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_956,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_957,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
gen_958,history/characters/bookmark_chars.txt,ib_ven_god_king,ib_ven_sound,7899.8.14,post_doom_initial
