character,source_file,old_culture,new_culture,reason
gen_2848,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2849,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2850,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2851,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2852,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2853,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2854,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2855,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2856,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2857,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2858,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2859,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2860,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2861,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2862,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2863,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2864,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2865,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2866,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2867,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2868,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2869,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2870,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2871,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2872,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2873,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2874,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2875,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2876,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2877,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2878,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2879,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2880,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2881,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2882,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2883,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2884,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2885,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2886,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2887,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2888,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2889,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2890,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2891,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2892,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2893,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2894,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2895,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2896,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2897,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2898,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2899,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2900,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2901,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2902,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2903,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2904,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2905,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2906,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2907,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2908,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2909,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2910,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2911,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2912,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2913,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2914,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2915,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2916,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2917,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2918,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2919,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_2920,history/characters/essos_7898_vassal_chars.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_343,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_344,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_345,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_346,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_347,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_348,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_349,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_350,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_351,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_352,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_353,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_354,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_355,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_356,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_357,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_358,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_359,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_360,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_361,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_362,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_363,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_364,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_365,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_366,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_367,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_368,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_369,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_370,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_371,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_372,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_373,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_374,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_375,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_376,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_377,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_378,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_379,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_380,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_381,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_382,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_383,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_384,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_385,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_386,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_387,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_388,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_389,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_390,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_391,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_392,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_393,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_394,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_395,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_396,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_397,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_398,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_399,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_400,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_401,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_402,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_403,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_404,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_405,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_406,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_407,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_408,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_409,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_410,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_411,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_412,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_413,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_414,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_415,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_416,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_417,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_418,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_419,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_420,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_421,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_422,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_423,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_424,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_425,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_426,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_427,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_428,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_429,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_430,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_431,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_432,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_433,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_434,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_435,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_436,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_437,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_438,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_439,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_440,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_441,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_442,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_443,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_444,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_445,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_446,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
gen_447,history/characters/vassal_characters.txt,nefer,jogos_nhai,Jogos title or in-scope family closure
